File,phpcs-error,phpcs-warning,php7cc-error,php7cc-warning
ArrayOrder.php,0,0,0,1
BitwiseShift.php,1,0,1,0
CallUserMethod.php,2,0,2,0
Constructor.php,0,1,1,0
DateFormatting.php,1,0,1,0
DivideByZero.php,0,0,2,0
DuplicateParameter.php,1,0,1,0
EregRemoved.php,4,0,2,0
EvalIsEvil.php,0,0,0,0
ExceptionHandler.php,0,0,0,0
ExtraParens.php,0,0,0,0
ForeachPointer.php,0,0,0,0
FuncGetArg.php,0,0,0,2
Globals.php,1,0,1,0
HexadecimalStrings.php,1,0,0,1
HttpRawPostData.php,1,0,2,0
ImagePostScript.php,1,0,1,0
Int.php,1,0,1,0
InvalidOctal.php,1,0,1,0
JsonToJsonD.php,0,0,0,0
LdapDeprecated.php,0,1,0,0
McryptDecprecated.php,1,0,0,0
Mssql.php,3,0,3,0
Mysql.php,3,0,3,0
ObjectByReference.php,1,0,1,0
PasswordHashSalt.php,0,0,1,0
SetMagicQuotes.php,1,0,1,0
SetStreamBlocking.php,1,0,1,0
ShortTags.php,0,2,0,0
Split.php,1,0,1,0
StaticCalls.php,0,0,0,0
SwitchMultiDefault.php,1,0,1,0
YieldParenthesis.php,0,0,0,1
php7-1/ArrayOrdering.php,0,0,0,1
php7-1/ClosureBoundVariable.php,3,0,0,0
php7-1/DynamicCalls.php,0,0,1,0
php7-1/Iterable.php,1,0,0,0
php7-1/JsonDecodeEmpty.php,0,0,0,0
php7-1/LongToIp.php,0,0,0,0
php7-1/RandAliasMtRand.php,0,0,0,0
php7-1/StringArray.php,0,0,0,0
php7-1/TooFewArguments.php,0,0,0,0
php7-1/Void.php,1,0,0,0
php7-2/CountNonCountables.php,0,0,0,0
php7-2/GetClassNull.php,0,0,0,0
php7-2/HashInitNotResource.php,0,0,0,0
php7-2/NumberFormatNegativeZero.php,0,0,0,0
php7-2/Object.php,1,0,1,0
php7-2/UndefinedConstants.php,0,0,0,0
